date,pm2_5,temp_mean,temp_max,temp_min,precip_total,wind_speed_max,wind_speed_mean,wind_dir_dominant
2020-01-01,74.0,28.9875,33.6,24.6,0.0,21.7,13.083333333333334,50.17465610812446
2020-01-02,93.0,28.604166666666668,33.3,23.8,0.0,18.5,11.4125,45.21042460029467
2020-01-03,102.0,28.9375,33.7,23.4,0.0,13.1,9.3125,44.192723041100926
2020-01-04,121.0,28.758333333333336,33.5,23.4,0.0,12.1,7.75,51.31085896077552
2020-01-05,130.0,28.962500000000002,34.1,23.5,0.0,15.2,8.924999999999999,67.37579414376096
2020-01-06,135.0,28.695833333333336,34.0,23.5,0.0,12.6,6.645833333333333,82.04188181228739
2020-01-07,139.0,29.020833333333332,34.7,23.2,0.0,11.9,5.641666666666667,54.209712041181106
2020-01-08,149.0,29.575,34.4,24.0,0.1,15.4,7.595833333333334,64.72826978662236
2020-01-09,140.0,29.9875,34.2,24.7,0.0,11.5,6.629166666666666,351.1066094687126
2020-01-10,180.0,29.900000000000002,35.0,25.8,0.1,14.6,7.020833333333333,338.1572921486747
2020-01-11,138.0,29.599999999999998,34.0,26.8,1.2000000000000002,8.9,4.133333333333334,212.45761188099553
2020-01-12,120.0,29.058333333333334,33.0,25.2,0.4,11.2,7.158333333333334,167.64637921049186
2020-01-13,116.0,28.150000000000002,32.0,24.2,2.3,13.6,7.945833333333333,156.78697989975495
2020-01-14,112.0,28.224999999999998,32.2,25.1,0.4,12.2,6.6499999999999995,183.87471395578098
2020-01-15,122.0,27.9375,30.8,24.6,0.8,10.0,5.833333333333333,205.35507041837218
2020-01-16,127.0,28.333333333333332,33.0,25.0,0.2,13.1,7.283333333333334,184.62685015032602
2020-01-17,143.0,28.8125,33.1,25.3,0.0,9.1,5.3625,179.28478813428453
2020-01-18,162.0,28.795833333333334,32.0,25.9,0.1,9.2,6.675,182.70132883486934
2020-01-19,159.0,28.7,32.0,25.5,1.0,11.8,6.558333333333334,177.48280771710014
2020-01-20,163.0,28.7375,32.7,25.5,1.0,9.9,5.745833333333334,169.2020567955399
2020-01-21,147.0,28.620833333333334,32.3,25.2,0.7,10.5,5.854166666666667,185.15758934771853
2020-01-22,124.0,28.829166666666666,33.7,24.8,0.2,11.5,5.0125,216.16848444696112
