Model,MAE,RMSE,MAPE%,MASE,R2,MBE
[Baseline] Linear Regression,11.056,14.642,14.44,0.9925,0.7429,-3.318
XGBoost (Tuned),11.315,14.742,15.35,1.0157,0.7394,1.257
LightGBM (Tuned),11.413,14.796,15.46,1.0245,0.7375,1.178
[Baseline] Random Forest,11.839,15.409,15.82,1.0627,0.7153,0.853
Random Forest (Tuned),12.061,15.463,16.12,1.0827,0.7133,1.003
[Baseline] XGBoost,12.486,15.924,16.62,1.1208,0.6959,0.921
[Baseline] LightGBM,12.52,16.024,16.81,1.1238,0.6921,1.461
Stacking Tuned (RidgeCV),13.856,17.498,18.73,1.2437,0.6328,2.646
